Year,Albany,Allegany,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Rensselaer,Rockland,St. Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates,New York City,Statewide Total
2011,135742,15121,98970,22836,32462,40651,32006,21856,45703,35203,24411,21948,107876,382784,18292,17934,23652,51877,27446,2886,29841,57139,12071,37591,19855,288428,39481,497383,77871,103460,238207,60295,160558,11694,55452,31215,43905,71911,49695,39931,102836,69178,14116,8450,16273,53186,598640,24848,21901,33352,95679,39678,14633,39054,279772,16366,7829,1026928,5548356
2010,137748,16335,102751,23828,37020,45417,34386,21913,46980,35873,24814,23527,109669,385719,19555,19220,24310,55086,27821,3050,29992,61641,12325,36172,19775,292420,39732,497893,74298,109012,241230,63926,165375,11728,57884,32508,45563,76121,53822,40675,105060,68727,16670,8881,20679,54417,666099,28062,22311,33618,95808,40658,16494,39353,295570,16824,7906,1087228,5781480
2009,137622,15128,105846,24429,35287,45986,30210,21769,45007,35334,23866,22546,106157,381156,19366,19482,26659,51817,27232,3127,28411,63801,11305,34510,19661,288062,42293,491570,66563,108813,233343,57842,164007,14251,56326,32756,46346,75503,50026,39311,102506,64054,14614,9000,25028,53204,663649,30839,20673,32211,91007,40709,17165,37990,295461,16879,7433,1019417,5644564
2008,143362,15887,111837,24138,30406,27932,33604,22001,47160,37524,24222,22499,113684,414448,19165,19932,26282,62303,28357,1674,28732,40736,11301,36597,18915,295797,44011,496398,70947,73914,200490,61800,173083,14078,41871,34196,48718,79154,49924,40035,108792,67906,14138,9207,18214,53283,678487,34324,20012,33950,88753,41302,17221,38894,248935,17743,8064,1048061,5634402
2007,142791,16360,110535,22439,28553,36739,32769,22842,42684,34364,25410,22927,113342,401329,19091,18607,25596,62268,30227,2312,27593,50995,11544,37663,19993,288152,43291,527853,68661,91200,194965,63839,169831,11945,46923,34516,48193,70551,42131,40401,100318,68380,14727,8816,24354,51478,705045,36745,20148,35576,90038,40957,19533,40306,270922,16485,7840,1086366,5739459
2006,138753,17756,111472,23618,33334,44821,31952,26227,41188,39965,26494,23860,111982,411589,20804,19170,31340,60724,33579,2712,28645,56660,12685,40028,21507,287690,42177,511597,66969,105834,220660,63978,158940,12842,57399,35147,42478,66043,48178,39980,95996,65696,16891,9072,26428,51084,694634,37440,19952,36531,91706,41367,20162,41126,262300,17848,8230,1051384,5784552
2005,152874,17990,103745,22619,37166,52079,32105,22383,38820,38886,26261,23738,113351,355590,22318,16071,22411,58757,29917,3121,28449,65960,13605,37292,23625,278775,39471,505979,64313,123399,264343,63644,165767,11688,68010,33994,38659,66890,52550,39765,98836,66608,14983,9104,25024,49325,688339,34966,19139,35589,86762,39233,19489,38880,242131,17792,8738,1083697,5755012
2004,152358,16415,104126,23121,39578,41742,34163,22817,42154,40381,28473,28178,122481,365482,19532,16712,22757,60035,31935,3333,30621,54511,13151,39831,22659,289268,39866,528766,66714,99300,221199,65249,163442,12371,58681,39751,41176,67514,55193,38990,99556,70644,14887,9705,18641,49270,703078,37381,21708,35980,87149,39937,20519,44994,240416,17645,8654,1145506,5829696
2003,162604,18359,109174,26328,46430,44616,36227,24131,39084,44458,30164,23340,121409,385492,19993,17889,25272,61960,30893,3482,31938,48952,12425,37614,20798,305754,37686,537693,66012,106746,218520,67257,154107,13385,56185,31470,43173,73112,61852,40573,102502,69915,13791,9797,20253,51431,719674,38884,21088,38169,93557,43865,22599,39179,231138,17879,8573,1101852,5880701
2002,152275,16617,106160,25871,41752,44176,29698,19128,39171,42020,28542,21758,118751,380025,19018,17990,26471,60638,31309,3442,33084,47304,13511,35777,21434,297012,37868,564684,63129,106434,215685,64345,149539,14049,57505,30642,38719,65477,62101,39445,98029,63413,13687,9641,16508,49856,676219,36903,20652,37137,85034,41182,21105,40569,281996,17760,8400,1107540,5808184
